time,open,high,low,close,tick_volume,spread,real_volume,symbol,timeframe,digits,hl2,hlc3,ohlc4,range,range_pct,range_points,hour,is_london_session,is_us_session,is_asian_session,is_high_impact_hour,body,body_pct,upper_shadow,lower_shadow,is_bullish,is_doji,price_change,price_change_pct,price_change_points,atr_14,volatility_pct,sma_20,sma_50,ema_20,volume_ma,volume_ratio,prev_high,prev_low,higher_high,lower_low,swing_high,swing_low,swing_high_price,swing_low_price,swing_strength,higher_low,lower_high,market_structure,structure_strength,choch,bos,structure_break,break_strength,bullish_ob,bearish_ob,ob_high,ob_low,ob_strength,bullish_fvg,bearish_fvg,fvg_high,fvg_low,fvg_size,fvg_efficiency,buy_liquidity,sell_liquidity,liquidity_strength,liquidity_proximity,structure_momentum,gold_volatility,gold_momentum,ob_distance,ob_age,fvg_unfilled,smc_confluence,session_weighted_confluence
2023-11-30 08:00:00,2041.68,2046.93,2038.75,2039.92,19021,0,0,XAUUSD.v,H4,2,2042.84,2041.8666666666668,2041.82,8.180000000000064,0.4009961174948068,818.0000000000064,8,1,0,0,1,1.759999999999991,21.515892420537615,5.25,1.1700000000000728,0,0,-1.740000000000009,-0.0852247680808715,-174.0000000000009,8.135714285714325,0.7318433947855058,2029.7735,2007.2682,2030.664849246342,18820.45,1.0106559619987832,2047.25,2041.39,0,0,0,0,,,0.0,0,0,1,0.0,0,0,0,0.0,0,0,,,0.0,0,0,,,,,0,0,0,,1.0,418.21322627528394,732.2000000000025,,0,0,0,0.0
2023-11-30 12:00:00,2039.9,2043.81,2034.01,2036.87,28827,0,0,XAUUSD.v,H4,2,2038.91,2038.23,2038.6475,9.799999999999956,0.4811303617805729,979.9999999999956,12,1,0,0,0,3.0300000000002,30.91836734694096,3.9099999999998554,2.8599999999999,0,0,-3.050000000000182,-0.1495156672810749,-305.0000000000182,8.58071428571431,0.7000913568631422,2031.086,2008.384,2031.2558159847856,19541.5,1.4751682317119976,2046.93,2038.75,0,0,0,0,,,0.0,0,0,1,0.0,0,0,0,0.0,0,0,,,0.0,0,0,,,,,0,0,0,,1.0,419.50377640857465,787.1000000000026,,0,0,0,0.0
2023-11-30 16:00:00,2036.88,2041.33,2031.45,2037.02,47323,0,0,XAUUSD.v,H4,2,2036.39,2036.6,2036.67,9.879999999999882,0.485022238367806,987.9999999999882,16,1,1,0,0,0.1399999999998726,1.417004048581724,4.309999999999945,5.430000000000064,1,1,0.1500000000000909,0.0073642402313334,15.000000000009097,8.943571428571447,0.671145888771189,2032.269,2009.5114,2031.8047858909968,21042.25,2.2489515142154475,2043.81,2034.01,0,0,0,1,,2031.45,151.72000000000003,1,0,1,3.3585354933246494,0,0,0,0.0,0,0,,,0.0,0,0,,,,,0,0,0,,1.0,421.21022067371825,772.2000000000003,,0,0,0,0.0
2023-11-30 20:00:00,2037.14,2038.68,2033.64,2036.04,11618,0,0,XAUUSD.v,H4,2,2036.16,2036.12,2036.375,5.039999999999964,0.2475393410738474,503.9999999999964,20,0,1,0,0,1.1000000000001364,21.82539682539969,1.5399999999999636,2.399999999999864,0,0,-0.9800000000000182,-0.0481094932794023,-98.00000000000182,8.59642857142858,0.6260161254718237,2033.5055,2010.646,2032.208139615664,20503.85,0.5666252923231491,2041.33,2031.45,0,0,0,0,,,0.0,0,0,1,0.0,0,0,0,0.0,1,0,2038.68,2033.64,0.1481350677889606,0,0,,,,,0,0,0,,1.0,425.2651928038889,762.6999999999998,0.0012966346437202118,0,0,1,1.3
2023-12-01 00:00:00,2036.39,2043.39,2036.36,2041.7,8182,0,0,XAUUSD.v,H4,2,2039.875,2040.4833333333331,2039.46,7.0300000000002,0.3443209090463927,703.00000000002,0,0,0,1,0,5.309999999999945,75.5334281650042,1.6900000000000546,0.0300000000002,1,0,5.660000000000082,0.2779906092218231,566.0000000000082,7.497857142857161,0.5681312338516985,2035.0940000000005,2012.115,2033.1121263189336,19282.15,0.4243302743729303,2038.68,2033.64,0,0,0,0,,,0.0,0,0,1,0.0,0,0,0,0.0,0,0,,,0.0,0,0,,,,,0,0,0,,1.0,424.48304163014717,724.3000000000006,,0,0,0,0.0
2023-12-01 04:00:00,2041.68,2042.77,2038.66,2040.97,9670,0,0,XAUUSD.v,H4,2,2040.715,2040.8,2041.02,4.1099999999999,0.2013748364748085,410.99999999999,4,0,0,1,0,0.7100000000000364,17.2749391727507,1.089999999999918,2.309999999999945,0,0,-0.7300000000000182,-0.0357545182935847,-73.00000000000182,7.483571428571444,0.5161767881260186,2036.4355,2013.4588,2033.8604952409405,19354.65,0.4996215379766619,2043.39,2036.36,0,0,0,0,,,0.0,0,0,1,0.0,0,0,0,0.0,1,0,2042.77,2038.66,0.17672082515408624,0,0,,,,,0,0,0,,1.0,428.65987928107523,703.0999999999995,0.0008819335904006205,0,0,1,0.7
2023-12-01 08:00:00,2040.94,2049.84,2039.27,2046.38,20722,0,0,XAUUSD.v,H4,2,2044.555,2045.1633333333327,2044.1075,10.570000000000164,0.5165218581104273,1057.0000000000164,8,1,0,0,1,5.440000000000055,51.46641438032138,3.4600000000000364,1.6700000000000728,1,0,5.410000000000082,0.2650700402259787,541.0000000000082,7.426428571428589,0.4650774098684731,2037.9855,2014.8374,2035.0528290275172,19921.3,1.0401931600849343,2042.77,2038.66,0,0,0,0,,,0.0,0,0,1,0.0,0,0,0,0.0,0,1,2049.84,2039.27,0.07894982027882036,0,0,,,,,0,0,0,,1.0,427.72067557670414,709.9000000000001,0.001690790566756925,0,0,1,1.5
2023-12-01 12:00:00,2046.4,2047.2,2033.9,2037.66,25704,0,0,XAUUSD.v,H4,2,2040.55,2039.5866666666668,2041.29,13.299999999999956,0.652709480482512,1329.9999999999957,12,1,0,0,0,8.740000000000009,65.714285714286,0.7999999999999545,3.759999999999991,0,0,-8.720000000000027,-0.4261183162462489,-872.0000000000027,7.948571428571443,0.3833795250472825,2039.11,2015.7916,2035.301131024897,20724.85,1.2402502310028782,2049.84,2039.27,0,0,0,0,,,0.0,0,0,1,0.0,0,0,0,0.0,1,0,2047.2,2033.9,1.977823368503322,0,0,,,,,0,0,0,,1.0,429.81380301609784,775.0,0.0046818409351903475,0,0,1,1.5
2023-12-01 16:00:00,2037.7,2067.67,2035.2,2067.28,54481,0,0,XAUUSD.v,H4,2,2051.435,2056.7166666666667,2051.9625,32.47000000000003,1.5706629000425691,3247.0000000000027,16,1,1,0,0,29.580000000000155,91.09947643979098,0.3899999999998726,2.5,1,0,29.62000000000012,1.4536281813452678,2962.000000000012,9.49142857142858,0.4032889457174517,2041.675,2017.3026,2038.346737593954,22654.0,2.404917453871281,2047.2,2033.9,0,0,0,0,,,0.0,0,0,1,0.0,0,1,1,1.5706629000425691,0,0,,,0.0,1,0,2065.58,2047.2,18.37999999999988,0.5660609793655641,0,0,0,,1.0,678.0115101491566,1062.4,,0,0,2,3.9000000000000004
2023-12-01 20:00:00,2067.27,2075.37,2065.58,2071.42,19710,0,0,XAUUSD.v,H4,2,2070.475,2070.79,2069.91,9.789999999999964,0.4726226453350824,978.9999999999964,20,0,1,0,0,4.150000000000091,42.390194075588425,3.949999999999818,1.6900000000000546,1,0,4.139999999999873,0.2002631477109995,413.99999999998727,9.745714285714287,0.4544798458633503,2044.1725,2019.0234,2041.4965721088151,22706.65,0.8680276482880566,2067.67,2035.2,0,0,0,0,,,0.0,0,0,1,0.0,0,0,0,0.0,0,0,,,0.0,1,0,2069.36,2067.67,1.6900000000000546,0.17262512768131366,0,0,0,,1.0,678.0148189655187,1101.7000000000007,,0,0,1,1.3
